Data,NUO TI,NUO RIC,NUO DEC,Terapie Intensive,Ricoveri,Decessi,Regione
8-mar,24,142,52,22,139,55,Lombardia
9-mar,14,216,63,19,144,56,Lombardia
10-mar,6,168,70,16,148,58,Lombardia
11-mar,28,134,81,16,140,61,Lombardia
12-mar,22,191,89,18,158,65,Lombardia
13-mar,27,159,66,18,162,65,Lombardia
14-mar,20,9,61,20,146,69,Lombardia
15-mar,14,121,79,19,143,73,Lombardia
16-mar,37,276,81,22,151,75,Lombardia
17-mar,16,167,79,23,151,77,Lombardia
18-mar,5,103,92,20,147,78,Lombardia
19-mar,2,52,80,17,127,77,Lombardia
20-mar,3,95,78,14,118,79,Lombardia
21-mar,15,35,90,13,121,83,Lombardia
22-mar,16,26,77,13,108,82,Lombardia
23-mar,14,213,99,10,99,85,Lombardia
24-mar,9,13,110,9,77,89,Lombardia
25-mar,0,-46,100,8,55,91,Lombardia
26-mar,3,-21,100,9,45,93,Lombardia
27-mar,4,13,102,9,33,97,Lombardia
28-mar,16,-55,75,9,20,95,Lombardia
29-mar,2,-75,88,7,6,96,Lombardia
30-mar,-8,115,85,4,-8,94,Lombardia
31-mar,1,-76,100,3,-21,93,Lombardia
1-apr,-3,-210,127,2,-44,97,Lombardia
2-apr,-3,-120,97,1,-58,96,Lombardia
3-apr,5,-43,97,1,-66,96,Lombardia
,,,,,,,
4-ott,0,12,1,0,12,1,Emilia-Romagna
5-ott,0,1,1,0,7,1,Emilia-Romagna
6-ott,2,-1,3,1,4,2,Emilia-Romagna
7-ott,1,11,1,1,6,2,Emilia-Romagna
8-ott,-1,9,1,0,6,1,Emilia-Romagna
9-ott,1,-6,1,1,4,1,Emilia-Romagna
10-ott,2,15,1,1,6,1,Emilia-Romagna
11-ott,7,13,1,2,6,1,Emilia-Romagna
12-ott,2,30,1,2,10,1,Emilia-Romagna
13-ott,6,39,2,3,16,1,Emilia-Romagna
14-ott,4,60,4,3,23,2,Emilia-Romagna
15-ott,14,9,1,5,23,2,Emilia-Romagna
16-ott,12,12,1,7,25,2,Emilia-Romagna
17-ott,4,23,5,7,27,2,Emilia-Romagna
18-ott,2,12,6,6,26,3,Emilia-Romagna
19-ott,3,42,3,6,28,3,Emilia-Romagna
20-ott,8,50,5,7,30,4,Emilia-Romagna
21-ott,8,65,8,7,30,4,Emilia-Romagna
22-ott,0,40,6,5,35,5,Emilia-Romagna
23-ott,0,21,10,4,36,6,Emilia-Romagna
24-ott,3,66,10,3,42,7,Emilia-Romagna
25-ott,-1,34,4,3,45,7,Emilia-Romagna
26-ott,5,59,3,3,48,7,Emilia-Romagna
27-ott,10,118,15,4,58,8,Emilia-Romagna
28-ott,16,65,14,5,58,9,Emilia-Romagna
29-ott,4,55,8,5,60,9,Emilia-Romagna
30-ott,-4,103,11,5,71,9,Emilia-Romagna
31-ott,6,66,19,5,71,11,Emilia-Romagna
1-nov,7,44,16,6,73,12,Emilia-Romagna
2-nov,6,115,17,6,81,14,Emilia-Romagna
3-nov,15,82,23,7,76,15,Emilia-Romagna
4-nov,8,90,12,6,79,15,Emilia-Romagna
5-nov,16,34,13,8,76,16,Emilia-Romagna
6-nov,0,85,40,8,74,20,Emilia-Romagna
7-nov,11,50,29,9,71,21,Emilia-Romagna
8-nov,6,113,35,9,81,24,Emilia-Romagna
9-nov,10,103,8,9,80,23,Emilia-Romagna
10-nov,11,81,21,9,79,23,Emilia-Romagna
11-nov,7,52,31,9,74,25,Emilia-Romagna
12-nov,6,22,49,7,72,30,Emilia-Romagna
13-nov,-3,70,40,7,70,30,Emilia-Romagna
14-nov,6,79,43,6,74,32,Emilia-Romagna
15-nov,15,42,36,7,64,33,Emilia-Romagna
16-nov,1,108,23,6,65,35,Emilia-Romagna
17-nov,0,58,48,5,62,39,Emilia-Romagna
