Data,CASI,VARIAZIONI,1,2,3,4,5,Regione
23-giu,10.2,-39.4,0,0,0,0,100,Lombardia
24-giu,9.4,-39.7,0,0,0,0,100,Lombardia
25-giu,9.6,-31.5,0,0,0,0,100,Lombardia
26-giu,8.9,-33,0,0,0,0,100,Lombardia
27-giu,8.7,-28.9,0,0,0,0,100,Lombardia
28-giu,8.3,-30.9,0,0,0,0,100,Lombardia
29-giu,8,-29.9,0,0,0,0,100,Lombardia
30-giu,8,-21.5,0,0,0,0,100,Lombardia
1-lug,7.8,-17.1,0,0,0,0,100,Lombardia
2-lug,7.9,-17.9,0,0,0,0,100,Lombardia
3-lug,8.1,-8.8,0,0,0,0,100,Lombardia
4-lug,8.3,-4.6,0,0,0,0,100,Lombardia
5-lug,8.3,0.2,0,0,0,0,100,Lombardia
6-lug,8.6,7.6,0,0,0,0,100,Lombardia
7-lug,8.3,4.3,0,0,0,0,100,Lombardia
8-lug,9.1,17,0,0,0,0,100,Lombardia
9-lug,10,26.7,0,0,0,0,100,Lombardia
10-lug,10.6,30.8,0,0,0,0,100,Lombardia
11-lug,11.8,43.4,0,0,0,0,100,Lombardia
12-lug,12.3,47.8,0,0,0,0,100,Lombardia
13-lug,13.4,55.5,0,0,0,0,100,Lombardia
14-lug,16.6,99.5,0,0,0,0,100,Lombardia
15-lug,18.3,100.4,0,0,0,0,100,Lombardia
16-lug,20,99.9,0,0,0,0,100,Lombardia
17-lug,22.3,109.6,0,0,0,0,100,Lombardia
18-lug,23.5,98.6,0,0,0,0,100,Lombardia
19-lug,24.6,100.7,0,0,0,0,100,Lombardia
20-lug,26.3,96.3,0,0,0,0,100,Lombardia
21-lug,27.8,67,0,0,0,0,100,Lombardia
22-lug,29.1,59.1,0,0,0,0,100,Lombardia
23-lug,32,60.2,0,0,0,0,100,Lombardia
24-lug,33.4,49.6,0,0,0,0,100,Lombardia
25-lug,34.3,45.9,0,0,0,0,100,Lombardia
26-lug,34,37.9,0,0,0,0,100,Lombardia
27-lug,36.3,38.1,0,0,0,0,100,Lombardia
28-lug,37.9,36.6,0,0,0,0,100,Lombardia
29-lug,39.4,35.4,0,0,0,0,100,Lombardia
30-lug,39.2,22.6,0,0,0,0,100,Lombardia
31-lug,41.3,23.7,0,0,0,0,100,Lombardia
1-ago,41.9,22.2,0,0,0,0,100,Lombardia
2-ago,43.4,27.7,0,0,0,0,100,Lombardia
3-ago,42.8,17.9,0,0,0,0,100,Lombardia
4-ago,43.7,15.3,0,0,0,0,100,Lombardia
5-ago,45,14.3,0,0,0,0,100,Lombardia
6-ago,44.9,14.4,0,0,0,0,100,Lombardia
7-ago,44.7,8.2,0,0,0,0,100,Lombardia
8-ago,45.8,9.4,0,0,0,0,100,Lombardia
9-ago,44.6,2.7,0,0,0,0,100,Lombardia
10-ago,44,2.6,0,0,0,0,100,Lombardia
11-ago,43.6,-0.3,0,0,0,0,100,Lombardia
12-ago,42.4,-5.8,0,0,0,0,100,Lombardia
13-ago,42.4,-5.5,0,0,0,0,100,Lombardia
14-ago,41.6,-6.9,0,0,0,0,100,Lombardia
15-ago,38.5,-15.9,0,0,0,0,100,Lombardia
16-ago,37.9,-14.9,0,0,0,0,100,Lombardia
17-ago,36.4,-17.2,0,0,0,0,100,Lombardia
18-ago,35.4,-18.7,0,0,0,0,100,Lombardia
19-ago,34.9,-17.7,0,0,0,0,100,Lombardia
20-ago,33.3,-21.4,0,0,0,0,100,Lombardia
21-ago,32,-23.1,0,0,0,0,100,Lombardia
22-ago,32.7,-15.1,0,0,0,0,100,Lombardia
23-ago,33.3,-12.1,0,0,0,0,100,Lombardia
24-ago,34.8,-4.5,0,0,0,0,100,Lombardia
25-ago,34.1,-3.7,0,0,0,0,100,Lombardia
26-ago,35.4,1.5,0,0,0,0,100,Lombardia
27-ago,36.4,9.2,0,0,0,0,100,Lombardia
28-ago,36.4,13.8,0,0,0,0,100,Lombardia
29-ago,36.8,12.5,0,0,0,0,100,Lombardia
30-ago,36.2,8.6,0,0,0,0,100,Lombardia
31-ago,38.3,10,0,0,0,0,100,Lombardia
1-set,39.1,14.6,0,0,0,0,100,Lombardia
2-set,38.1,7.5,0,0,0,0,100,Lombardia
3-set,38.5,5.9,0,0,0,0,100,Lombardia
4-set,38.9,6.9,0,0,0,0,100,Lombardia
5-set,38.5,4.5,0,0,0,0,100,Lombardia
6-set,38.8,7.3,0,0,0,0,100,Lombardia
7-set,36.7,-4.1,0,0,0,0,100,Lombardia
8-set,36.4,-7,0,0,0,0,100,Lombardia
9-set,36.5,-4.3,0,0,0,0,100,Lombardia
10-set,35.9,-6.8,0,0,0,0,100,Lombardia
11-set,36.1,-7.2,0,0,0,0,100,Lombardia
12-set,36.6,-5,0,0,0,0,100,Lombardia
13-set,37,-4.8,0,0,0,0,100,Lombardia
14-set,36.2,-1.3,0,0,0,0,100,Lombardia
15-set,36,-1.1,0,0,0,0,100,Lombardia
16-set,35.1,-3.8,0,0,0,0,100,Lombardia
17-set,32.7,-8.9,0,0,0,0,100,Lombardia
18-set,34.4,-4.7,0,0,0,0,100,Lombardia
19-set,33.4,-8.6,0,0,0,0,100,Lombardia
20-set,32.7,-11.6,0,0,0,0,100,Lombardia
21-set,33.1,-8.7,0,0,0,0,100,Lombardia
22-set,31.3,-13,0,0,0,0,100,Lombardia
23-set,30,-14.5,0,0,0,0,100,Lombardia
24-set,31.3,-4.4,0,0,0,0,100,Lombardia
25-set,28.4,-17.5,0,0,0,0,100,Lombardia
26-set,27.9,-16.3,0,0,0,0,100,Lombardia
27-set,27.8,-15,0,0,0,0,100,Lombardia
28-set,26.5,-19.8,0,0,0,0,100,Lombardia
29-set,26.4,-15.6,0,0,0,0,100,Lombardia
30-set,26,-13.3,0,0,0,0,100,Lombardia
1-ott,24.9,-20.3,0,0,0,0,100,Lombardia
2-ott,23.7,-16.4,0,0,0,0,100,Lombardia
3-ott,24,-14.2,0,0,0,0,100,Lombardia
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1-ott,16,-4.9,0,0,0,0,0,Emilia-Romagna
2-ott,17,0.3,0,0,0,0,0,Emilia-Romagna
3-ott,18,14.7,0,0,0,0,0,Emilia-Romagna
4-ott,20,29.9,0,0,0,0,0,Emilia-Romagna
5-ott,22,48.3,0,0,0,0,0,Emilia-Romagna
6-ott,24,50.4,0,0,0,0,0,Emilia-Romagna
7-ott,26,63.5,0,0,0,0,0,Emilia-Romagna
8-ott,28,74.1,0,0,0,0,0,Emilia-Romagna
9-ott,30,80.1,0,0,0,0,0,Emilia-Romagna
10-ott,35,91.6,0,0,0,0,0,Emilia-Romagna
11-ott,40,96.8,0,0,0,0,0,Emilia-Romagna
12-ott,43,97.3,0,0,0,0,0,Emilia-Romagna
13-ott,47,99.3,0,0,0,0,0,Emilia-Romagna
14-ott,50,96.1,0,0,0,0,0,Emilia-Romagna
15-ott,56,105.1,0,0,0,0,0,Emilia-Romagna
16-ott,62,107.6,0,0,0,0,0,Emilia-Romagna
17-ott,68,95.4,0,0,0,0,0,Emilia-Romagna
18-ott,71,80.6,0,0,0,0,0,Emilia-Romagna
19-ott,76,76.3,0,0,0,0,0,Emilia-Romagna
20-ott,80,70,0,0,0,0,0,Emilia-Romagna
21-ott,88,73.7,0,0,0,0,0,Emilia-Romagna
22-ott,97,72.5,0,0,0,0,0,Emilia-Romagna
23-ott,105,68.1,0,0,0,0,0,Emilia-Romagna
24-ott,117,71.6,0,0,0,0,0,Emilia-Romagna
25-ott,132,84.9,0,0,0,0,0,Emilia-Romagna
26-ott,145,90.3,0,0,0,0,0,Emilia-Romagna
27-ott,166,106.8,0,0,0,0,0,Emilia-Romagna
28-ott,178,103.1,0,0,0,0,0,Emilia-Romagna
29-ott,192,97.7,0,0,0,0,0,Emilia-Romagna
30-ott,212,102,0,0,0,0,0,Emilia-Romagna
31-ott,232,97.7,0,0,0,0,0,Emilia-Romagna
1-nov,244,85,0,0,0,0,0,Emilia-Romagna
2-nov,256,76,0,0,0,0,0,Emilia-Romagna
3-nov,267,61.2,0,0,0,0,0,Emilia-Romagna
4-nov,279,57.1,0,0,0,0,0,Emilia-Romagna
5-nov,294,52.6,0,0,0,0,0,Emilia-Romagna
6-nov,298,40.4,0,0,100,0,0,Emilia-Romagna
7-nov,297,28.3,0,0,100,0,0,Emilia-Romagna
8-nov,311,27.1,0,0,100,0,0,Emilia-Romagna
9-nov,319,24.7,0,0,100,0,0,Emilia-Romagna
10-nov,331,23.8,0,0,100,0,0,Emilia-Romagna
11-nov,346,23.8,0,0,100,0,0,Emilia-Romagna
12-nov,351,19.5,0,0,100,0,0,Emilia-Romagna
13-nov,360,21,0,0,100,0,0,Emilia-Romagna
14-nov,375,26.1,0,100,0,0,0,Emilia-Romagna
15-nov,385,23.9,0,100,0,0,0,Emilia-Romagna
16-nov,397,24.4,0,100,0,0,0,Emilia-Romagna
17-nov,392,18.6,0,100,0,0,0,Emilia-Romagna
18-nov,391,13,0,100,0,0,0,Emilia-Romagna
19-nov,385,9.8,0,100,0,0,0,Emilia-Romagna
20-nov,389,7.8,0,100,0,0,0,Emilia-Romagna
21-nov,391,4.3,0,100,0,0,0,Emilia-Romagna
