Paese,dato,date,year_week,Ospedali/TI,source,url
Austria,Ospedali,9/11/2020,2020-W37,163,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,9/12/2020,2020-W37,167,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,9/13/2020,2020-W37,182,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,9/14/2020,2020-W38,208,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,9/15/2020,2020-W38,244,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,9/16/2020,2020-W38,267,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,9/17/2020,2020-W38,264,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,9/18/2020,2020-W38,272,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,9/19/2020,2020-W38,265,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,9/20/2020,2020-W38,273,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,9/21/2020,2020-W39,297,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,9/22/2020,2020-W39,315,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,9/23/2020,2020-W39,336,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,9/24/2020,2020-W39,344,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,9/25/2020,2020-W39,333,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,9/26/2020,2020-W39,343,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
Austria,Ospedali,9/27/2020,2020-W39,362,Country_Website,https://covid19-dashboard.ages.at/dashboard_Hosp.html
